,ctm_customer_id,the_transaction_id,but_name_business_unit,the_date_transaction,f_qty_item,f_to_tax_in,the_to_type,sku_num_sku_r3,mdl_num_model_r3,Sales,Time of Day
0,Non Members,71981198120190601124318105468,Decathlon Dasmarinas,2019-06-01 12:43:18,1,180.0,offline,2170443,8379478,180.0,12 PM-1 PM
1,20915567734610,719811981201906011306341032440,Decathlon Dasmarinas,2019-06-01 13:06:34,1,160.0,offline,2308514,8395063,160.0,1 PM-2 PM
2,20915567734610,719811981201906011306341032440,Decathlon Dasmarinas,2019-06-01 13:06:34,1,30.0,offline,1413822,8191613,30.0,1 PM-2 PM
3,20915567734610,719811981201906011306341032440,Decathlon Dasmarinas,2019-06-01 13:06:34,1,550.0,offline,2663481,8529024,550.0,1 PM-2 PM
4,20915567734610,719811981201906011306341032440,Decathlon Dasmarinas,2019-06-01 13:06:34,1,30.0,offline,1413822,8191613,30.0,1 PM-2 PM
5,20915567734610,719811981201906011306341032440,Decathlon Dasmarinas,2019-06-01 13:06:34,1,140.0,offline,2216652,8386452,140.0,1 PM-2 PM
6,20915568882640,719811981201906011551131032472,Decathlon Dasmarinas,2019-06-01 15:51:13,1,150.0,offline,2408504,8406668,150.0,3 PM-4 PM
7,20915568882640,719811981201906011551131032472,Decathlon Dasmarinas,2019-06-01 15:51:13,1,150.0,offline,2408505,8406668,150.0,3 PM-4 PM
8,20915568882640,719811981201906011551131032472,Decathlon Dasmarinas,2019-06-01 15:51:13,1,150.0,offline,2408501,8406668,150.0,3 PM-4 PM
9,20915568882640,719811981201906011551131032472,Decathlon Dasmarinas,2019-06-01 15:51:13,1,150.0,offline,2408502,8406668,150.0,3 PM-4 PM
10,20915568882640,719811981201906011551131032472,Decathlon Dasmarinas,2019-06-01 15:51:13,1,360.0,offline,2513522,8490003,360.0,3 PM-4 PM
11,20915568882640,719811981201906011551131032472,Decathlon Dasmarinas,2019-06-01 15:51:13,1,360.0,offline,2476854,8504723,360.0,3 PM-4 PM
12,20913610712190,719811981201906011559041061415,Decathlon Dasmarinas,2019-06-01 15:59:04,1,650.0,offline,2382080,8402548,650.0,3 PM-4 PM
13,20913610712190,719811981201906011559041061415,Decathlon Dasmarinas,2019-06-01 15:59:04,1,420.0,offline,2551484,8486708,420.0,3 PM-4 PM
14,20913878813280,719811981201906011601221032477,Decathlon Dasmarinas,2019-06-01 16:01:22,1,300.0,offline,2039894,8359040,300.0,4 PM-5 PM
15,20915569617830,719811981201906011725571061427,Decathlon Dasmarinas,2019-06-01 17:25:52,1,550.0,offline,2663476,8529019,550.0,5 PM-6 PM
16,20915570120710,719811981201906011848361061442,Decathlon Dasmarinas,2019-06-01 18:48:36,1,150.0,offline,630375,8331390,150.0,6 PM-7 PM
17,20915588122810,719811981201906021317511046822,Decathlon Dasmarinas,2019-06-02 13:17:51,1,500.0,offline,2507376,8488808,500.0,1 PM-2 PM
18,20915588122810,719811981201906021317511046822,Decathlon Dasmarinas,2019-06-02 13:17:51,1,190.0,offline,2076030,8364416,190.0,1 PM-2 PM
19,20915588122810,719811981201906021317511046822,Decathlon Dasmarinas,2019-06-02 13:17:51,1,360.0,offline,2399769,8402372,360.0,1 PM-2 PM
20,20915588122810,719811981201906021317511046822,Decathlon Dasmarinas,2019-06-02 13:17:51,1,1000.0,offline,2602950,8516693,1000.0,1 PM-2 PM
21,20915569396520,719811981201906021613041032497,Decathlon Dasmarinas,2019-06-02 16:13:04,1,260.0,offline,2040236,8359132,260.0,4 PM-5 PM
22,20915569396520,719811981201906021613041032497,Decathlon Dasmarinas,2019-06-02 16:13:04,1,800.0,offline,2181175,8381772,800.0,4 PM-5 PM
23,20915569396520,719811981201906021613041032497,Decathlon Dasmarinas,2019-06-02 16:13:04,1,440.0,offline,2192034,8383802,440.0,4 PM-5 PM
24,20915569396520,719811981201906021613041032497,Decathlon Dasmarinas,2019-06-02 16:13:04,1,100.0,offline,1862890,8350114,100.0,4 PM-5 PM
25,20913948559780,719811981201906021622551046874,Decathlon Dasmarinas,2019-06-02 16:22:55,1,900.0,offline,2499904,8502449,900.0,4 PM-5 PM
26,20915587279740,719811981201906021641271032542,Decathlon Dasmarinas,2019-06-02 16:41:27,1,150.0,offline,2487053,8502149,150.0,4 PM-5 PM
27,20915587279740,719811981201906021641271032542,Decathlon Dasmarinas,2019-06-02 16:41:27,1,150.0,offline,630322,8331381,150.0,4 PM-5 PM
28,20915587279740,719811981201906021641271032542,Decathlon Dasmarinas,2019-06-02 16:41:27,1,150.0,offline,630343,8331385,150.0,4 PM-5 PM
29,20914591105610,719811981201906021809291017041,Decathlon Dasmarinas,2019-06-02 18:09:29,1,850.0,offline,2501568,8488053,850.0,6 PM-7 PM
30,20915203254050,719811981201906021831371061556,Decathlon Dasmarinas,2019-06-02 18:31:37,1,150.0,offline,1779339,8296178,150.0,6 PM-7 PM
31,20915203254050,719811981201906021831371061556,Decathlon Dasmarinas,2019-06-02 18:31:37,0,50.0,offline,2366091,8399213,0.0,6 PM-7 PM
32,20915203254050,719811981201906021831371061556,Decathlon Dasmarinas,2019-06-02 18:31:37,1,800.0,offline,2174666,8380313,800.0,6 PM-7 PM
33,20915203254050,719811981201906021831371061556,Decathlon Dasmarinas,2019-06-02 18:31:37,1,150.0,offline,2517464,8490544,150.0,6 PM-7 PM
34,20915203254050,719811981201906021831371061556,Decathlon Dasmarinas,2019-06-02 18:31:37,1,200.0,offline,2110305,8368807,200.0,6 PM-7 PM
35,20915203254050,719811981201906021831371061556,Decathlon Dasmarinas,2019-06-02 18:31:37,1,100.0,offline,2430205,8480057,100.0,6 PM-7 PM
36,20915203254050,719811981201906021831371061556,Decathlon Dasmarinas,2019-06-02 18:31:37,1,100.0,offline,2173914,8380182,100.0,6 PM-7 PM
37,20915590456330,719811981201906021909101046897,Decathlon Dasmarinas,2019-06-02 19:09:10,1,110.0,offline,2197126,8385005,110.0,7 PM-8 PM
38,20914978079970,719811981201906022109521176323,Decathlon Dasmarinas,2019-06-02 21:09:52,1,200.0,offline,246629,8046236,200.0,9 PM-10 PM
39,20908939516550,719811981201906031045211046911,Decathlon Dasmarinas,2019-06-03 10:45:21,1,440.0,offline,1156069,8111158,440.0,10 AM-11 AM
40,Non Members,719811981201906031127501176333,Decathlon Dasmarinas,2019-06-03 11:27:50,1,120.0,offline,588830,8056700,120.0,11 AM-12 PM
41,20915591678610,719811981201906031402251046941,Decathlon Dasmarinas,2019-06-03 14:02:25,1,480.0,offline,2183153,8382166,480.0,2 PM-3 PM
42,20915591678610,719811981201906031402251046941,Decathlon Dasmarinas,2019-06-03 14:02:25,1,600.0,offline,2182250,8379446,600.0,2 PM-3 PM
43,20915591678610,719811981201906031402251046941,Decathlon Dasmarinas,2019-06-03 14:02:25,1,300.0,offline,2615203,8519879,300.0,2 PM-3 PM
44,20915591678610,719811981201906031402251046941,Decathlon Dasmarinas,2019-06-03 14:02:25,1,600.0,offline,2182250,8379446,600.0,2 PM-3 PM
45,20915591678610,719811981201906031402251046941,Decathlon Dasmarinas,2019-06-03 14:02:25,1,450.0,offline,2390419,8404185,450.0,2 PM-3 PM
46,20915591678610,719811981201906031402251046941,Decathlon Dasmarinas,2019-06-03 14:02:25,1,2400.0,offline,2224911,8387458,2400.0,2 PM-3 PM
47,20915591678610,719811981201906031402251046941,Decathlon Dasmarinas,2019-06-03 14:02:25,1,700.0,offline,2620922,8520923,700.0,2 PM-3 PM
48,20915591678610,719811981201906031402251046941,Decathlon Dasmarinas,2019-06-03 14:02:25,1,450.0,offline,2390439,8404188,450.0,2 PM-3 PM
49,20913708290160,719811981201906031439591017080,Decathlon Dasmarinas,2019-06-03 14:39:59,1,210.0,offline,536303,8325701,210.0,2 PM-3 PM
50,20913708290160,719811981201906031439591017080,Decathlon Dasmarinas,2019-06-03 14:39:59,1,100.0,offline,2488457,8500933,100.0,2 PM-3 PM
51,20913708290160,719811981201906031439591017080,Decathlon Dasmarinas,2019-06-03 14:39:59,1,210.0,offline,536304,8325701,210.0,2 PM-3 PM
52,20913708290160,719811981201906031439591017080,Decathlon Dasmarinas,2019-06-03 14:39:59,1,100.0,offline,2488457,8500933,100.0,2 PM-3 PM
53,Non Members,719811981201906031445181046953,Decathlon Dasmarinas,2019-06-03 14:45:18,1,480.0,offline,2566350,8493743,480.0,2 PM-3 PM
54,20915592184330,719811981201906031728071046988,Decathlon Dasmarinas,2019-06-03 17:28:07,1,280.0,offline,2194334,8384321,280.0,5 PM-6 PM
55,20915593303260,71981198120190604124613102597,Decathlon Dasmarinas,2019-06-04 12:46:13,1,700.0,offline,605498,8330394,700.0,12 PM-1 PM
56,20915593303260,71981198120190604124613102597,Decathlon Dasmarinas,2019-06-04 12:46:13,1,300.0,offline,842867,8342221,300.0,12 PM-1 PM
57,20915593303260,71981198120190604124613102597,Decathlon Dasmarinas,2019-06-04 12:46:13,1,360.0,offline,2226955,8387956,360.0,12 PM-1 PM
58,20915595186320,719811981201906051402071047114,Decathlon Dasmarinas,2019-06-05 14:02:07,1,380.0,offline,2027243,8356614,380.0,2 PM-3 PM
59,20915595186320,719811981201906051402071047114,Decathlon Dasmarinas,2019-06-05 14:02:07,1,1400.0,offline,2566277,8493732,1400.0,2 PM-3 PM
60,20915595298740,71981198120190605145132102679,Decathlon Dasmarinas,2019-06-05 14:51:32,1,450.0,offline,1769991,8294530,450.0,2 PM-3 PM
61,Non Members,719811981201906051521111047137,Decathlon Dasmarinas,2019-06-05 15:21:11,1,290.0,offline,2440639,8511691,290.0,3 PM-4 PM
62,20915595688730,71981198120190605172633102716,Decathlon Dasmarinas,2019-06-05 17:26:33,1,280.0,offline,1852598,8347731,280.0,5 PM-6 PM
63,20915595688730,71981198120190605172633102716,Decathlon Dasmarinas,2019-06-05 17:26:33,1,150.0,offline,630322,8331381,150.0,5 PM-6 PM
64,20915595688730,71981198120190605172633102716,Decathlon Dasmarinas,2019-06-05 17:26:33,1,660.0,offline,2504474,8488376,660.0,5 PM-6 PM
65,20915595688730,71981198120190605172633102716,Decathlon Dasmarinas,2019-06-05 17:26:33,1,160.0,offline,2021639,8355739,160.0,5 PM-6 PM
66,20915596158430,719811981201906052012091017170,Decathlon Dasmarinas,2019-06-05 20:12:09,1,750.0,offline,2183447,8382225,750.0,8 PM-9 PM
67,20915596158430,719811981201906052012091017170,Decathlon Dasmarinas,2019-06-05 20:12:09,1,500.0,offline,712792,8336573,500.0,8 PM-9 PM
68,20913754192740,719811981201906052039051017178,Decathlon Dasmarinas,2019-06-05 20:39:05,1,360.0,offline,2341474,8394696,360.0,8 PM-9 PM
69,20913754192740,719811981201906052039051017178,Decathlon Dasmarinas,2019-06-05 20:39:05,1,240.0,offline,2075693,8364273,240.0,8 PM-9 PM
70,20915596807730,719811981201906061559341176499,Decathlon Dasmarinas,2019-06-06 15:59:34,1,150.0,offline,2611236,8518739,150.0,3 PM-4 PM
71,20915596807730,719811981201906061559341176499,Decathlon Dasmarinas,2019-06-06 15:59:34,1,150.0,offline,2655312,8527574,150.0,3 PM-4 PM
72,20915597388630,71981198120190606164942102796,Decathlon Dasmarinas,2019-06-06 16:49:42,1,120.0,offline,588830,8056700,120.0,4 PM-5 PM
73,Non Members,71981198120190606190100102812,Decathlon Dasmarinas,2019-06-06 19:01:00,1,150.0,offline,2558797,8492776,150.0,7 PM-8 PM
74,20915614654740,71981198120190606201548102831,Decathlon Dasmarinas,2019-06-06 20:15:48,1,150.0,offline,630322,8331381,150.0,8 PM-9 PM
75,20915614654740,71981198120190606201548102831,Decathlon Dasmarinas,2019-06-06 20:15:48,1,160.0,offline,1858163,8348928,160.0,8 PM-9 PM
76,20915614745440,719811981201906062038001017229,Decathlon Dasmarinas,2019-06-06 20:38:00,1,250.0,offline,2315207,8394352,250.0,8 PM-9 PM
77,Non Members,719811981201906071321061061733,Decathlon Dasmarinas,2019-06-07 13:21:06,1,300.0,offline,645977,8332129,300.0,1 PM-2 PM
78,Non Members,719811981201906071321061061733,Decathlon Dasmarinas,2019-06-07 13:21:06,1,340.0,offline,1787447,8297581,340.0,1 PM-2 PM
79,20915616035550,719811981201906071328211061735,Decathlon Dasmarinas,2019-06-07 13:28:21,1,460.0,offline,2370465,8394488,460.0,1 PM-2 PM
80,20915616035550,719811981201906071328211061735,Decathlon Dasmarinas,2019-06-07 13:28:21,1,180.0,offline,1780505,8296440,180.0,1 PM-2 PM
81,20915616035550,719811981201906071328211061735,Decathlon Dasmarinas,2019-06-07 13:28:21,1,160.0,offline,2492171,8501500,160.0,1 PM-2 PM
82,20915616035550,719811981201906071328211061735,Decathlon Dasmarinas,2019-06-07 13:28:21,1,460.0,offline,2463841,8512551,460.0,1 PM-2 PM
83,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,210.0,offline,536314,8325701,210.0,2 PM-3 PM
84,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,130.0,offline,2307195,8392786,130.0,2 PM-3 PM
85,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,210.0,offline,536303,8325701,210.0,2 PM-3 PM
86,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,990.0,offline,2341988,8394767,990.0,2 PM-3 PM
87,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,500.0,offline,2503196,8488279,500.0,2 PM-3 PM
88,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,300.0,offline,2432299,8506243,300.0,2 PM-3 PM
89,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,300.0,offline,2655214,8527525,300.0,2 PM-3 PM
90,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,300.0,offline,2432295,8506243,300.0,2 PM-3 PM
91,20913609282860,719811981201906071418061017265,Decathlon Dasmarinas,2019-06-07 14:18:06,1,300.0,offline,2432298,8506243,300.0,2 PM-3 PM
92,Non Members,719811981201906071655031017287,Decathlon Dasmarinas,2019-06-07 16:55:03,1,500.0,offline,2523319,8491519,500.0,4 PM-5 PM
93,Non Members,719811981201906071655031017287,Decathlon Dasmarinas,2019-06-07 16:55:03,1,300.0,offline,1347580,8174620,300.0,4 PM-5 PM
94,Non Members,719811981201906081453151176631,Decathlon Dasmarinas,2019-06-08 14:53:15,1,150.0,offline,630322,8331381,150.0,2 PM-3 PM
95,20913929303180,719811981201906081508251047259,Decathlon Dasmarinas,2019-06-08 15:08:25,1,620.0,offline,2626780,8521920,620.0,3 PM-4 PM
96,20913929303180,719811981201906081508251047259,Decathlon Dasmarinas,2019-06-08 15:08:25,1,590.0,offline,2841769,8538975,590.0,3 PM-4 PM
97,20914017734930,719811981201906081726041061809,Decathlon Dasmarinas,2019-06-08 17:26:04,1,1100.0,offline,2217911,8386634,1100.0,5 PM-6 PM
98,20914017734930,719811981201906081726041061809,Decathlon Dasmarinas,2019-06-08 17:26:04,1,1100.0,offline,2217911,8386634,1100.0,5 PM-6 PM
99,20914017734930,719811981201906081726041061809,Decathlon Dasmarinas,2019-06-08 17:26:04,1,180.0,offline,764906,8339445,180.0,5 PM-6 PM
